seq,send_time_ns,scheduled_time_ns,drift_us
0,1788913332589697305,1788913332589695021,2.28
1,1788913332590695340,1788913332590695021,0.32
2,1788913332591695298,1788913332591695021,0.28
3,1788913332592695157,1788913332592695021,0.14
4,1788913332593695295,1788913332593695021,0.27
5,1788913332594695223,1788913332594695021,0.20
6,1788913332595695192,1788913332595695021,0.17
7,1788913332596695180,1788913332596695021,0.16
8,1788913332597695199,1788913332597695021,0.18
9,1788913332598695157,1788913332598695021,0.14
10,1788913332599695185,1788913332599695021,0.16
11,1788913332600695254,1788913332600695021,0.23
12,1788913332601695152,1788913332601695021,0.13
13,1788913332602695201,1788913332602695021,0.18
14,1788913332603695269,1788913332603695021,0.25
15,1788913332604695117,1788913332604695021,0.10
16,1788913332605695176,1788913332605695021,0.15
17,1788913332606695124,1788913332606695021,0.10
18,1788913332607695293,1788913332607695021,0.27
19,1788913332608695161,1788913332608695021,0.14
20,1788913332609695416,1788913332609695021,0.40
21,1788913332610695254,1788913332610695021,0.23
22,1788913332611695142,1788913332611695021,0.12
23,1788913332612695165,1788913332612695021,0.14
24,1788913332613695173,1788913332613695021,0.15
25,1788913332614695151,1788913332614695021,0.13
26,1788913332615695200,1788913332615695021,0.18
27,1788913332616695128,1788913332616695021,0.11
28,1788913332617695247,1788913332617695021,0.23
29,1788913332618695095,1788913332618695021,0.07
30,1788913332619695254,1788913332619695021,0.23
31,1788913332620695302,1788913332620695021,0.28
32,1788913332621695210,1788913332621695021,0.19
33,1788913332622695149,1788913332622695021,0.13
34,1788913332623695167,1788913332623695021,0.15
35,1788913332624695226,1788913332624695021,0.20
36,1788913332625695275,1788913332625695021,0.25
37,1788913332626695173,1788913332626695021,0.15
38,1788913332627695141,1788913332627695021,0.12
39,1788913332628695200,1788913332628695021,0.18
40,1788913332629695194,1788913332629695021,0.17
41,1788913332630695136,1788913332630695021,0.12
42,1788913332631695195,1788913332631695021,0.17
43,1788913332632695163,1788913332632695021,0.14
44,1788913332633695192,1788913332633695021,0.17
45,1788913332634695270,1788913332634695021,0.25
46,1788913332635695239,1788913332635695021,0.22
47,1788913332636695167,1788913332636695021,0.15
48,1788913332637695145,1788913332637695021,0.12
49,1788913332638695314,1788913332638695021,0.29
50,1788913332639695178,1788913332639695021,0.16
51,1788913332640695156,1788913332640695021,0.14
52,1788913332641695135,1788913332641695021,0.11
53,1788913332642695238,1788913332642695021,0.22
54,1788913332643695226,1788913332643695021,0.20
55,1788913332644695234,1788913332644695021,0.21
56,1788913332645695233,1788913332645695021,0.21
57,1788913332646695231,1788913332646695021,0.21
58,1788913332647695310,1788913332647695021,0.29
59,1788913332648695188,1788913332648695021,0.17
60,1788913332649695196,1788913332649695021,0.17
61,1788913332650695295,1788913332650695021,0.27
62,1788913332651695273,1788913332651695021,0.25
63,1788913332652695171,1788913332652695021,0.15
64,1788913332653695220,1788913332653695021,0.20
65,1788913332654695188,1788913332654695021,0.17
66,1788913332655695217,1788913332655695021,0.20
67,1788913332656695175,1788913332656695021,0.15
68,1788913332657695184,1788913332657695021,0.16
69,1788913332658695162,1788913332658695021,0.14
70,1788913332659695216,1788913332659695021,0.20
71,1788913332660695185,1788913332660695021,0.16
72,1788913332661695103,1788913332661695021,0.08
73,1788913332662695192,1788913332662695021,0.17
74,1788913332663695300,1788913332663695021,0.28
75,1788913332664695148,1788913332664695021,0.13
76,1788913332665695167,1788913332665695021,0.15
77,1788913332666695205,1788913332666695021,0.18
78,1788913332667695194,1788913332667695021,0.17
79,1788913332668695182,1788913332668695021,0.16
80,1788913332669695210,1788913332669695021,0.19
81,1788913332670695209,1788913332670695021,0.19
82,1788913332671695207,1788913332671695021,0.19
83,1788913332672695206,1788913332672695021,0.18
84,1788913332673695134,1788913332673695021,0.11
85,1788913332674695202,1788913332674695021,0.18
86,1788913332675695341,1788913332675695021,0.32
87,1788913332676695279,1788913332676695021,0.26
88,1788913332677695107,1788913332677695021,0.09
89,1788913332678695276,1788913332678695021,0.26
90,1788913332679695135,1788913332679695021,0.11
91,1788913332680695193,1788913332680695021,0.17
92,1788913332681695181,1788913332681695021,0.16
93,1788913332682695140,1788913332682695021,0.12
94,1788913332683695138,1788913332683695021,0.12
95,1788913332684695257,1788913332684695021,0.24
96,1788913332685695125,1788913332685695021,0.10
97,1788913332686695214,1788913332686695021,0.19
98,1788913332687695322,1788913332687695021,0.30
99,1788913332688695140,1788913332688695021,0.12
100,1788913332689695319,1788913332689695021,0.30
101,1788913332690695207,1788913332690695021,0.19
102,1788913332691695426,1788913332691695021,0.41
103,1788913332692695174,1788913332692695021,0.15
104,1788913332693695127,1788913332693695021,0.11
105,1788913332694695165,1788913332694695021,0.14
106,1788913332695695224,1788913332695695021,0.20
107,1788913332696695192,1788913332696695021,0.17
108,1788913332697695296,1788913332697695021,0.28
109,1788913332698695164,1788913332698695021,0.14
110,1788913332699695157,1788913332699695021,0.14
111,1788913332700695186,1788913332700695021,0.17
