seq,send_time_ns,scheduled_time_ns,drift_us
144,1788913349190524450,1788913349190524285,0.17
145,1788913349191524399,1788913349191524285,0.11
146,1788913349192524387,1788913349192524285,0.10
147,1788913349193524496,1788913349193524285,0.21
148,1788913349194524475,1788913349194524285,0.19
149,1788913349195524464,1788913349195524285,0.18
150,1788913349196524512,1788913349196524285,0.23
151,1788913349197524471,1788913349197524285,0.19
152,1788913349198524480,1788913349198524285,0.20
153,1788913349199524388,1788913349199524285,0.10
154,1788913349200524397,1788913349200524285,0.11
155,1788913349201524396,1788913349201524285,0.11
156,1788913349202524404,1788913349202524285,0.12
157,1788913349203524493,1788913349203524285,0.21
158,1788913349204524462,1788913349204524285,0.18
159,1788913349205524530,1788913349205524285,0.24
160,1788913349206524439,1788913349206524285,0.15
161,1788913349207524417,1788913349207524285,0.13
162,1788913349208524416,1788913349208524285,0.13
163,1788913349209524435,1788913349209524285,0.15
164,1788913349210524473,1788913349210524285,0.19
165,1788913349211524472,1788913349211524285,0.19
166,1788913349212524471,1788913349212524285,0.19
167,1788913349213524399,1788913349213524285,0.11
168,1788913349214524418,1788913349214524285,0.13
169,1788913349215524497,1788913349215524285,0.21
170,1788913349216524465,1788913349216524285,0.18
171,1788913349217524384,1788913349217524285,0.10
172,1788913349218524463,1788913349218524285,0.18
173,1788913349219524441,1788913349219524285,0.16
174,1788913349220524390,1788913349220524285,0.10
175,1788913349221524418,1788913349221524285,0.13
176,1788913349222524457,1788913349222524285,0.17
177,1788913349223524406,1788913349223524285,0.12
178,1788913349224524544,1788913349224524285,0.26
179,1788913349225524383,1788913349225524285,0.10
180,1788913349226524372,1788913349226524285,0.09
181,1788913349227524460,1788913349227524285,0.17
182,1788913349228524439,1788913349228524285,0.15
183,1788913349229524448,1788913349229524285,0.16
184,1788913349230524416,1788913349230524285,0.13
185,1788913349231524505,1788913349231524285,0.22
186,1788913349232524444,1788913349232524285,0.16
187,1788913349233524382,1788913349233524285,0.10
188,1788913349234524511,1788913349234524285,0.23
189,1788913349235524720,1788913349235524285,0.43
190,1788913349236524478,1788913349236524285,0.19
191,1788913349237524407,1788913349237524285,0.12
192,1788913349238524445,1788913349238524285,0.16
193,1788913349239524424,1788913349239524285,0.14
194,1788913349240524623,1788913349240524285,0.34
195,1788913349241524471,1788913349241524285,0.19
196,1788913349242524400,1788913349242524285,0.12
197,1788913349243524499,1788913349243524285,0.21
198,1788913349244524397,1788913349244524285,0.11
199,1788913349245524466,1788913349245524285,0.18
200,1788913349246524535,1788913349246524285,0.25
201,1788913349247524483,1788913349247524285,0.20
202,1788913349248524432,1788913349248524285,0.15
203,1788913349249524511,1788913349249524285,0.23
204,1788913349250524399,1788913349250524285,0.11
205,1788913349251524448,1788913349251524285,0.16
206,1788913349252524517,1788913349252524285,0.23
207,1788913349253524465,1788913349253524285,0.18
208,1788913349254524494,1788913349254524285,0.21
209,1788913349255524472,1788913349255524285,0.19
210,1788913349256524461,1788913349256524285,0.18
211,1788913349257524490,1788913349257524285,0.20
212,1788913349258524398,1788913349258524285,0.11
213,1788913349259524507,1788913349259524285,0.22
214,1788913349260524415,1788913349260524285,0.13
215,1788913349261524474,1788913349261524285,0.19
216,1788913349262524503,1788913349262524285,0.22
217,1788913349263524381,1788913349263524285,0.10
218,1788913349264524450,1788913349264524285,0.17
219,1788913349265524419,1788913349265524285,0.13
220,1788913349266524447,1788913349266524285,0.16
221,1788913349267524536,1788913349267524285,0.25
222,1788913349268524505,1788913349268524285,0.22
223,1788913349269524444,1788913349269524285,0.16
224,1788913349270524462,1788913349270524285,0.18
225,1788913349271524461,1788913349271524285,0.18
226,1788913349272524539,1788913349272524285,0.25
227,1788913349273524408,1788913349273524285,0.12
228,1788913349274524467,1788913349274524285,0.18
229,1788913349275524405,1788913349275524285,0.12
230,1788913349276524434,1788913349276524285,0.15
231,1788913349277524493,1788913349277524285,0.21
232,1788913349278524431,1788913349278524285,0.15
233,1788913349279524460,1788913349279524285,0.17
234,1788913349280524489,1788913349280524285,0.20
235,1788913349281524507,1788913349281524285,0.22
236,1788913349282524476,1788913349282524285,0.19
237,1788913349283524434,1788913349283524285,0.15
238,1788913349284524453,1788913349284524285,0.17
239,1788913349285524432,1788913349285524285,0.15
240,1788913349286524460,1788913349286524285,0.17
241,1788913349287524429,1788913349287524285,0.14
242,1788913349288524438,1788913349288524285,0.15
243,1788913349289524437,1788913349289524285,0.15
244,1788913349290524395,1788913349290524285,0.11
245,1788913349291524424,1788913349291524285,0.14
246,1788913349292524503,1788913349292524285,0.22
247,1788913349293524421,1788913349293524285,0.14
248,1788913349294524460,1788913349294524285,0.17
249,1788913349295524919,1788913349295524285,0.63
250,1788913349296524497,1788913349296524285,0.21
251,1788913349297524495,1788913349297524285,0.21
252,1788913349298524444,1788913349298524285,0.16
253,1788913349299524473,1788913349299524285,0.19
254,1788913349300524472,1788913349300524285,0.19
255,1788913349301524420,1788913349301524285,0.14
256,1788913349302524499,1788913349302524285,0.21
257,1788913349303524397,1788913349303524285,0.11
258,1788913349304524456,1788913349304524285,0.17
259,1788913349305524465,1788913349305524285,0.18
260,1788913349306524473,1788913349306524285,0.19
261,1788913349307524452,1788913349307524285,0.17
262,1788913349308524421,1788913349308524285,0.14
263,1788913349309524439,1788913349309524285,0.15
264,1788913349310524468,1788913349310524285,0.18
265,1788913349311524387,1788913349311524285,0.10
266,1788913349312524395,1788913349312524285,0.11
267,1788913349313524504,1788913349313524285,0.22
268,1788913349314524463,1788913349314524285,0.18
269,1788913349315524481,1788913349315524285,0.20
270,1788913349316524450,1788913349316524285,0.17
271,1788913349317524488,1788913349317524285,0.20
272,1788913349318524447,1788913349318524285,0.16
273,1788913349319524426,1788913349319524285,0.14
274,1788913349320524434,1788913349320524285,0.15
275,1788913349321524473,1788913349321524285,0.19
