seq,send_time_ns,scheduled_time_ns,drift_us
0,1788913398428735716,1788913398428733572,2.14
1,1788913398429733901,1788913398429733572,0.33
2,1788913398430733789,1788913398430733572,0.22
3,1788913398431733778,1788913398431733572,0.21
4,1788913398432733716,1788913398432733572,0.14
5,1788913398433733754,1788913398433733572,0.18
6,1788913398434733753,1788913398434733572,0.18
7,1788913398435733751,1788913398435733572,0.18
8,1788913398436733799,1788913398436733572,0.23
9,1788913398437733698,1788913398437733572,0.13
10,1788913398438733736,1788913398438733572,0.16
11,1788913398439733684,1788913398439733572,0.11
12,1788913398440733773,1788913398440733572,0.20
13,1788913398441733821,1788913398441733572,0.25
14,1788913398442733749,1788913398442733572,0.18
15,1788913398443733808,1788913398443733572,0.24
16,1788913398444733726,1788913398444733572,0.15
17,1788913398445733695,1788913398445733572,0.12
18,1788913398446733793,1788913398446733572,0.22
19,1788913398447733761,1788913398447733572,0.19
20,1788913398448733830,1788913398448733572,0.26
21,1788913398449733698,1788913398449733572,0.13
22,1788913398450733676,1788913398450733572,0.10
23,1788913398451733685,1788913398451733572,0.11
24,1788913398452735587,1788913398452733572,2.02
25,1788913398453733781,1788913398453733572,0.21
26,1788913398454733790,1788913398454733572,0.22
27,1788913398455733688,1788913398455733572,0.12
28,1788913398456733777,1788913398456733572,0.20
29,1788913398458112613,1788913398457733572,379.04
30,1788913398458733814,1788913398458733572,0.24
31,1788913398459733691,1788913398459733572,0.12
32,1788913398460733740,1788913398460733572,0.17
33,1788913398461733718,1788913398461733572,0.15
34,1788913398462733837,1788913398462733572,0.27
35,1788913398463733725,1788913398463733572,0.15
36,1788913398464733784,1788913398464733572,0.21
37,1788913398465733742,1788913398465733572,0.17
38,1788913398466733760,1788913398466733572,0.19
39,1788913398467733789,1788913398467733572,0.22
40,1788913398468733757,1788913398468733572,0.18
41,1788913398469733705,1788913398469733572,0.13
42,1788913398470733694,1788913398470733572,0.12
43,1788913398471733752,1788913398471733572,0.18
44,1788913398472733810,1788913398472733572,0.24
45,1788913398473733728,1788913398473733572,0.16
46,1788913398474733747,1788913398474733572,0.17
47,1788913398475733735,1788913398475733572,0.16
48,1788913398476733673,1788913398476733572,0.10
49,1788913398477742288,1788913398477733572,8.72
50,1788913398478733781,1788913398478733572,0.21
51,1788913398479733719,1788913398479733572,0.15
52,1788913398480733687,1788913398480733572,0.12
53,1788913398481733685,1788913398481733572,0.11
54,1788913398482733774,1788913398482733572,0.20
55,1788913398483733682,1788913398483733572,0.11
56,1788913398484733740,1788913398484733572,0.17
57,1788913398485733819,1788913398485733572,0.25
58,1788913398486733717,1788913398486733572,0.14
59,1788913398487733736,1788913398487733572,0.16
60,1788913398488733734,1788913398488733572,0.16
61,1788913398489733762,1788913398489733572,0.19
62,1788913398490738910,1788913398490733572,5.34
63,1788913398491733789,1788913398491733572,0.22
64,1788913398492733667,1788913398492733572,0.10
65,1788913398493733776,1788913398493733572,0.20
66,1788913398494733684,1788913398494733572,0.11
67,1788913398495733743,1788913398495733572,0.17
68,1788913398496733711,1788913398496733572,0.14
69,1788913398497733739,1788913398497733572,0.17
70,1788913398498733737,1788913398498733572,0.17
71,1788913398499733786,1788913398499733572,0.21
72,1788913398500781994,1788913398500733572,48.42
73,1788913398501733773,1788913398501733572,0.20
74,1788913398502733771,1788913398502733572,0.20
75,1788913398503735923,1788913398503733572,2.35
76,1788913398504733868,1788913398504733572,0.30
77,1788913398505733766,1788913398505733572,0.19
78,1788913398506733774,1788913398506733572,0.20
79,1788913398507733853,1788913398507733572,0.28
80,1788913398508733751,1788913398508733572,0.18
81,1788913398509733729,1788913398509733572,0.16
82,1788913398510733738,1788913398510733572,0.17
83,1788913398511733746,1788913398511733572,0.17
84,1788913398512733724,1788913398512733572,0.15
85,1788913398513733743,1788913398513733572,0.17
86,1788913398514733771,1788913398514733572,0.20
87,1788913398515733770,1788913398515733572,0.20
88,1788913398516733758,1788913398516733572,0.19
89,1788913398517733756,1788913398517733572,0.18
90,1788913398518733704,1788913398518733572,0.13
91,1788913398519733703,1788913398519733572,0.13
92,1788913398520733851,1788913398520733572,0.28
93,1788913398521733800,1788913398521733572,0.23
94,1788913398522733698,1788913398522733572,0.13
95,1788913398523733756,1788913398523733572,0.18
96,1788913398524733775,1788913398524733572,0.20
97,1788913398525733793,1788913398525733572,0.22
98,1788913398526733741,1788913398526733572,0.17
99,1788913398527733720,1788913398527733572,0.15
100,1788913398528733818,1788913398528733572,0.25
101,1788913398529733756,1788913398529733572,0.18
102,1788913398530733775,1788913398530733572,0.20
103,1788913398531733743,1788913398531733572,0.17
104,1788913398532733741,1788913398532733572,0.17
105,1788913398533733730,1788913398533733572,0.16
106,1788913398534733758,1788913398534733572,0.19
107,1788913398535733746,1788913398535733572,0.17
108,1788913398536733705,1788913398536733572,0.13
109,1788913398537733793,1788913398537733572,0.22
110,1788913398538733752,1788913398538733572,0.18
111,1788913398539733780,1788913398539733572,0.21
112,1788913398540733738,1788913398540733572,0.17
113,1788913398541733717,1788913398541733572,0.14
114,1788913398542733785,1788913398542733572,0.21
115,1788913398543733773,1788913398543733572,0.20
116,1788913398544733762,1788913398544733572,0.19
117,1788913398545733710,1788913398545733572,0.14
118,1788913398546733708,1788913398546733572,0.14
119,1788913398547733717,1788913398547733572,0.14
120,1788913398548733765,1788913398548733572,0.19
121,1788913398549733863,1788913398549733572,0.29
122,1788913398550733722,1788913398550733572,0.15
123,1788913398551733700,1788913398551733572,0.13
124,1788913398552733748,1788913398552733572,0.18
125,1788913398553733787,1788913398553733572,0.21
126,1788913398554733715,1788913398554733572,0.14
127,1788913398555733744,1788913398555733572,0.17
128,1788913398556733682,1788913398556733572,0.11
129,1788913398557733710,1788913398557733572,0.14
130,1788913398558733759,1788913398558733572,0.19
131,1788913398559733757,1788913398559733572,0.18
132,1788913398560733705,1788913398560733572,0.13
133,1788913398561733663,1788913398561733572,0.09
134,1788913398562733682,1788913398562733572,0.11
135,1788913398563733750,1788913398563733572,0.18
136,1788913398564733769,1788913398564733572,0.20
137,1788913398565733757,1788913398565733572,0.18
138,1788913398566733825,1788913398566733572,0.25
139,1788913398567733784,1788913398567733572,0.21
140,1788913398568733772,1788913398568733572,0.20
141,1788913398569733741,1788913398569733572,0.17
142,1788913398570733739,1788913398570733572,0.17
143,1788913398571733737,1788913398571733572,0.17
144,1788913398572733675,1788913398572733572,0.10
145,1788913398573733704,1788913398573733572,0.13
146,1788913398574733762,1788913398574733572,0.19
147,1788913398575733761,1788913398575733572,0.19
148,1788913398576733679,1788913398576733572,0.11
149,1788913398577733737,1788913398577733572,0.17
150,1788913398578733756,1788913398578733572,0.18
151,1788913398579733684,1788913398579733572,0.11
152,1788913398580733782,1788913398580733572,0.21
153,1788913398581733681,1788913398581733572,0.11
154,1788913398582733699,1788913398582733572,0.13
155,1788913398583733778,1788913398583733572,0.21
156,1788913398584733726,1788913398584733572,0.15
157,1788913398585733844,1788913398585733572,0.27
158,1788913398586733722,1788913398586733572,0.15
159,1788913398587733721,1788913398587733572,0.15
160,1788913398588733729,1788913398588733572,0.16
161,1788913398589733758,1788913398589733572,0.19
162,1788913398590733706,1788913398590733572,0.13
163,1788913398591733754,1788913398591733572,0.18
