seq,send_time_ns,scheduled_time_ns,drift_us
0,1788913266701033871,1788913266701031376,2.50
1,1788913266702031834,1788913266702031376,0.46
2,1788913266703031691,1788913266703031376,0.32
3,1788913266704031528,1788913266704031376,0.15
4,1788913266705031586,1788913266705031376,0.21
5,1788913266706031503,1788913266706031376,0.13
6,1788913266707031570,1788913266707031376,0.19
7,1788913266708031487,1788913266708031376,0.11
8,1788913266709031555,1788913266709031376,0.18
9,1788913266710031502,1788913266710031376,0.13
10,1788913266711031559,1788913266711031376,0.18
11,1788913266712031567,1788913266712031376,0.19
12,1788913266713031584,1788913266713031376,0.21
13,1788913266714031541,1788913266714031376,0.17
14,1788913266715031468,1788913266715031376,0.09
15,1788913266716031556,1788913266716031376,0.18
16,1788913266717031473,1788913266717031376,0.10
17,1788913266718031570,1788913266718031376,0.19
18,1788913266719031638,1788913266719031376,0.26
19,1788913266720031595,1788913266720031376,0.22
20,1788913266721031512,1788913266721031376,0.14
21,1788913266722031539,1788913266722031376,0.16
22,1788913266723031527,1788913266723031376,0.15
23,1788913266724031504,1788913266724031376,0.13
24,1788913266725031541,1788913266725031376,0.17
25,1788913266726031478,1788913266726031376,0.10
26,1788913266727031556,1788913266727031376,0.18
27,1788913266728031573,1788913266728031376,0.20
28,1788913266729031490,1788913266729031376,0.11
29,1788913266730031487,1788913266730031376,0.11
30,1788913266731031535,1788913266731031376,0.16
31,1788913266732031492,1788913266732031376,0.12
32,1788913266733031589,1788913266733031376,0.21
33,1788913266734031516,1788913266734031376,0.14
34,1788913266735031574,1788913266735031376,0.20
35,1788913266736031491,1788913266736031376,0.12
36,1788913266737031528,1788913266737031376,0.15
37,1788913266738031626,1788913266738031376,0.25
38,1788913266739031483,1788913266739031376,0.11
39,1788913266740038082,1788913266740031376,6.71
40,1788913266741031618,1788913266741031376,0.24
41,1788913266742031505,1788913266742031376,0.13
42,1788913266743031492,1788913266743031376,0.12
43,1788913266744031660,1788913266744031376,0.28
44,1788913266745031536,1788913266745031376,0.16
45,1788913266746031504,1788913266746031376,0.13
46,1788913266747031661,1788913266747031376,0.28
47,1788913266748031468,1788913266748031376,0.09
48,1788913266749031596,1788913266749031376,0.22
49,1788913266750031583,1788913266750031376,0.21
50,1788913266751031490,1788913266751031376,0.11
51,1788913266752031718,1788913266752031376,0.34
52,1788913266753031615,1788913266753031376,0.24
53,1788913266754031582,1788913266754031376,0.21
54,1788913266755031529,1788913266755031376,0.15
55,1788913266756031527,1788913266756031376,0.15
56,1788913266757031594,1788913266757031376,0.22
57,1788913266758031581,1788913266758031376,0.20
58,1788913266759031578,1788913266759031376,0.20
59,1788913266760031606,1788913266760031376,0.23
60,1788913266761031573,1788913266761031376,0.20
61,1788913266762031630,1788913266762031376,0.25
62,1788913266763031547,1788913266763031376,0.17
63,1788913266764031555,1788913266764031376,0.18
64,1788913266765031532,1788913266765031376,0.16
65,1788913266766031720,1788913266766031376,0.34
66,1788913266767031487,1788913266767031376,0.11
67,1788913266768031604,1788913266768031376,0.23
68,1788913266769031661,1788913266769031376,0.28
69,1788913266770032600,1788913266770031376,1.22
70,1788913266771031556,1788913266771031376,0.18
71,1788913266772031713,1788913266772031376,0.34
72,1788913266773031540,1788913266773031376,0.16
73,1788913266774031628,1788913266774031376,0.25
74,1788913266775031585,1788913266775031376,0.21
75,1788913266776031562,1788913266776031376,0.19
76,1788913266777031579,1788913266777031376,0.20
77,1788913266778031597,1788913266778031376,0.22
78,1788913266779031644,1788913266779031376,0.27
79,1788913266780031541,1788913266780031376,0.17
80,1788913266781031618,1788913266781031376,0.24
