seq,send_time_ns,scheduled_time_ns,drift_us
0,1788913381972757662,1788913381972755598,2.06
1,1788913381973755827,1788913381973755598,0.23
2,1788913381974755775,1788913381974755598,0.18
3,1788913381975755693,1788913381975755598,0.10
4,1788913381976755802,1788913381976755598,0.20
5,1788913381977755820,1788913381977755598,0.22
6,1788913381978755728,1788913381978755598,0.13
7,1788913381979755807,1788913381979755598,0.21
8,1788913381980755685,1788913381980755598,0.09
9,1788913381981755854,1788913381981755598,0.26
10,1788913381982755742,1788913381982755598,0.14
11,1788913381983755810,1788913381983755598,0.21
12,1788913381984755799,1788913381984755598,0.20
13,1788913381985755787,1788913381985755598,0.19
14,1788913381986755715,1788913381986755598,0.12
15,1788913381987755804,1788913381987755598,0.21
16,1788913381988755752,1788913381988755598,0.15
17,1788913381989755790,1788913381989755598,0.19
18,1788913381990755859,1788913381990755598,0.26
19,1788913381991755757,1788913381991755598,0.16
20,1788913381992755846,1788913381992755598,0.25
21,1788913381993755754,1788913381993755598,0.16
22,1788913381994755802,1788913381994755598,0.20
23,1788913381995755821,1788913381995755598,0.22
24,1788913381996755769,1788913381996755598,0.17
25,1788913381997755727,1788913381997755598,0.13
26,1788913381998755796,1788913381998755598,0.20
27,1788913381999755744,1788913381999755598,0.15
28,1788913382000755883,1788913382000755598,0.28
29,1788913382001755801,1788913382001755598,0.20
30,1788913382002755789,1788913382002755598,0.19
31,1788913382003755938,1788913382003755598,0.34
32,1788913382004755766,1788913382004755598,0.17
33,1788913382005755724,1788913382005755598,0.13
34,1788913382006755743,1788913382006755598,0.14
35,1788913382007755801,1788913382007755598,0.20
36,1788913382008755889,1788913382008755598,0.29
37,1788913382009755738,1788913382009755598,0.14
38,1788913382010755776,1788913382010755598,0.18
39,1788913382011755814,1788913382011755598,0.22
40,1788913382012755693,1788913382012755598,0.10
41,1788913382013755851,1788913382013755598,0.25
42,1788913382014755690,1788913382014755598,0.09
43,1788913382015755738,1788913382015755598,0.14
44,1788913382016755786,1788913382016755598,0.19
45,1788913382017755715,1788913382017755598,0.12
46,1788913382018755753,1788913382018755598,0.15
47,1788913382019755731,1788913382019755598,0.13
48,1788913382020755730,1788913382020755598,0.13
49,1788913382021755868,1788913382021755598,0.27
50,1788913382022755766,1788913382022755598,0.17
51,1788913382023755715,1788913382023755598,0.12
52,1788913382024755723,1788913382024755598,0.12
53,1788913382025755762,1788913382025755598,0.16
54,1788913382026755790,1788913382026755598,0.19
55,1788913382027755758,1788913382027755598,0.16
56,1788913382028755777,1788913382028755598,0.18
57,1788913382029755825,1788913382029755598,0.23
58,1788913382030755753,1788913382030755598,0.15
59,1788913382031755722,1788913382031755598,0.12
60,1788913382032755740,1788913382032755598,0.14
61,1788913382033755729,1788913382033755598,0.13
62,1788913382034755747,1788913382034755598,0.15
63,1788913382035755786,1788913382035755598,0.19
64,1788913382036755784,1788913382036755598,0.19
65,1788913382037755782,1788913382037755598,0.18
66,1788913382038755780,1788913382038755598,0.18
67,1788913382039755859,1788913382039755598,0.26
68,1788913382040755777,1788913382040755598,0.18
69,1788913382041755705,1788913382041755598,0.11
70,1788913382042755814,1788913382042755598,0.22
71,1788913382043755772,1788913382043755598,0.17
72,1788913382044755751,1788913382044755598,0.15
73,1788913382045755739,1788913382045755598,0.14
74,1788913382046755807,1788913382046755598,0.21
75,1788913382047755846,1788913382047755598,0.25
76,1788913382048755704,1788913382048755598,0.11
77,1788913382049755722,1788913382049755598,0.12
78,1788913382050755671,1788913382050755598,0.07
79,1788913382051758033,1788913382051755598,2.44
80,1788913382052755888,1788913382052755598,0.29
81,1788913382053755756,1788913382053755598,0.16
82,1788913382054755814,1788913382054755598,0.22
83,1788913382055755743,1788913382055755598,0.14
84,1788913382056755741,1788913382056755598,0.14
85,1788913382057755750,1788913382057755598,0.15
86,1788913382058755778,1788913382058755598,0.18
87,1788913382059755746,1788913382059755598,0.15
88,1788913382060755845,1788913382060755598,0.25
89,1788913382061755773,1788913382061755598,0.17
90,1788913382062755731,1788913382062755598,0.13
91,1788913382063755800,1788913382063755598,0.20
92,1788913382064755828,1788913382064755598,0.23
93,1788913382065755766,1788913382065755598,0.17
94,1788913382066755775,1788913382066755598,0.18
95,1788913382067755753,1788913382067755598,0.15
96,1788913382068755882,1788913382068755598,0.28
