seq,send_time_ns,scheduled_time_ns,drift_us
0,1788913316096899515,1788913316096897432,2.08
1,1788913316097897681,1788913316097897432,0.25
2,1788913316098897580,1788913316098897432,0.15
3,1788913316099897619,1788913316099897432,0.19
4,1788913316100897548,1788913316100897432,0.12
5,1788913316101897597,1788913316101897432,0.17
6,1788913316102897536,1788913316102897432,0.10
7,1788913316103897605,1788913316103897432,0.17
8,1788913316104897614,1788913316104897432,0.18
9,1788913316105897573,1788913316105897432,0.14
10,1788913316106897742,1788913316106897432,0.31
11,1788913316107898072,1788913316107897432,0.64
12,1788913316108897610,1788913316108897432,0.18
13,1788913316109897539,1788913316109897432,0.11
14,1788913316110897568,1788913316110897432,0.14
15,1788913316111897637,1788913316111897432,0.20
16,1788913316112897566,1788913316112897432,0.13
17,1788913316113897625,1788913316113897432,0.19
18,1788913316114897624,1788913316114897432,0.19
19,1788913316115897582,1788913316115897432,0.15
20,1788913316116897542,1788913316116897432,0.11
21,1788913316117897580,1788913316117897432,0.15
22,1788913316118897569,1788913316118897432,0.14
23,1788913316119897639,1788913316119897432,0.21
24,1788913316120897578,1788913316120897432,0.15
25,1788913316121897607,1788913316121897432,0.17
26,1788913316122897605,1788913316122897432,0.17
27,1788913316123897614,1788913316123897432,0.18
28,1788913316124897553,1788913316124897432,0.12
29,1788913316125897632,1788913316125897432,0.20
30,1788913316126897632,1788913316126897432,0.20
31,1788913316127897581,1788913316127897432,0.15
32,1788913316128897559,1788913316128897432,0.13
33,1788913316129897598,1788913316129897432,0.17
34,1788913316130897597,1788913316130897432,0.17
35,1788913316131897566,1788913316131897432,0.13
36,1788913316132897595,1788913316132897432,0.16
37,1788913316133897554,1788913316133897432,0.12
38,1788913316134897513,1788913316134897432,0.08
39,1788913316135897552,1788913316135897432,0.12
40,1788913316136897631,1788913316136897432,0.20
41,1788913316137897660,1788913316137897432,0.23
42,1788913316138897599,1788913316138897432,0.17
43,1788913316139897568,1788913316139897432,0.14
44,1788913316140897738,1788913316140897432,0.31
45,1788913316141897516,1788913316141897432,0.08
46,1788913316142897545,1788913316142897432,0.11
47,1788913316143897534,1788913316143897432,0.10
48,1788913316144897623,1788913316144897432,0.19
49,1788913316145897662,1788913316145897432,0.23
50,1788913316146897641,1788913316146897432,0.21
51,1788913316147897590,1788913316147897432,0.16
52,1788913316148897629,1788913316148897432,0.20
53,1788913316149897558,1788913316149897432,0.13
54,1788913316150897637,1788913316150897432,0.20
55,1788913316151897586,1788913316151897432,0.15
56,1788913316152897615,1788913316152897432,0.18
57,1788913316153897684,1788913316153897432,0.25
58,1788913316154897593,1788913316154897432,0.16
59,1788913316155897542,1788913316155897432,0.11
60,1788913316156897621,1788913316156897432,0.19
61,1788913316157897670,1788913316157897432,0.24
62,1788913316158897619,1788913316158897432,0.19
63,1788913316159897578,1788913316159897432,0.15
64,1788913316160897607,1788913316160897432,0.17
65,1788913316161897556,1788913316161897432,0.12
66,1788913316162897615,1788913316162897432,0.18
67,1788913316163897634,1788913316163897432,0.20
68,1788913316164897633,1788913316164897432,0.20
69,1788913316165897642,1788913316165897432,0.21
70,1788913316166897621,1788913316166897432,0.19
71,1788913316167897600,1788913316167897432,0.17
72,1788913316168897689,1788913316168897432,0.26
73,1788913316169897588,1788913316169897432,0.16
74,1788913316170897607,1788913316170897432,0.17
75,1788913316171897565,1788913316171897432,0.13
76,1788913316172897525,1788913316172897432,0.09
77,1788913316173897523,1788913316173897432,0.09
78,1788913316174897632,1788913316174897432,0.20
79,1788913316175897632,1788913316175897432,0.20
80,1788913316176897741,1788913316176897432,0.31
81,1788913316177897619,1788913316177897432,0.19
82,1788913316178897598,1788913316178897432,0.17
83,1788913316179897898,1788913316179897432,0.47
84,1788913316180897586,1788913316180897432,0.15
85,1788913316181897585,1788913316181897432,0.15
86,1788913316182897584,1788913316182897432,0.15
87,1788913316183897673,1788913316183897432,0.24
88,1788913316184897592,1788913316184897432,0.16
89,1788913316185897641,1788913316185897432,0.21
90,1788913316186897630,1788913316186897432,0.20
91,1788913316187897660,1788913316187897432,0.23
92,1788913316188897628,1788913316188897432,0.20
93,1788913316189897627,1788913316189897432,0.20
94,1788913316190897626,1788913316190897432,0.19
95,1788913316191897655,1788913316191897432,0.22
96,1788913316192897734,1788913316192897432,0.30
97,1788913316193897523,1788913316193897432,0.09
98,1788913316194897542,1788913316194897432,0.11
99,1788913316195897621,1788913316195897432,0.19
100,1788913316196897580,1788913316196897432,0.15
101,1788913316197897679,1788913316197897432,0.25
102,1788913316198897658,1788913316198897432,0.23
103,1788913316199897637,1788913316199897432,0.20
104,1788913316200897606,1788913316200897432,0.17
105,1788913316201897575,1788913316201897432,0.14
106,1788913316202897674,1788913316202897432,0.24
107,1788913316203897613,1788913316203897432,0.18
108,1788913316204897612,1788913316204897432,0.18
109,1788913316205897621,1788913316205897432,0.19
110,1788913316206897630,1788913316206897432,0.20
