seq,send_time_ns,scheduled_time_ns,drift_us
0,1788913365510622966,1788913365510620942,2.02
1,1788913365511621181,1788913365511620942,0.24
2,1788913365512621059,1788913365512620942,0.12
3,1788913365513621117,1788913365513620942,0.17
4,1788913365514621115,1788913365514620942,0.17
5,1788913365515621094,1788913365515620942,0.15
6,1788913365516621102,1788913365516620942,0.16
7,1788913365517621120,1788913365517620942,0.18
8,1788913365518621099,1788913365518620942,0.16
9,1788913365519621147,1788913365519620942,0.20
10,1788913365520621035,1788913365520620942,0.09
11,1788913365521621033,1788913365521620942,0.09
12,1788913365522621081,1788913365522620942,0.14
13,1788913365523621080,1788913365523620942,0.14
14,1788913365524621038,1788913365524620942,0.10
15,1788913365525621096,1788913365525620942,0.15
16,1788913365526621105,1788913365526620942,0.16
17,1788913365527621133,1788913365527620942,0.19
18,1788913365528621111,1788913365528620942,0.17
19,1788913365529621029,1788913365529620942,0.09
20,1788913365530621138,1788913365530620942,0.20
21,1788913365531621096,1788913365531620942,0.15
22,1788913365532621014,1788913365532620942,0.07
23,1788913365533621112,1788913365533620942,0.17
24,1788913365534621131,1788913365534620942,0.19
25,1788913365535621059,1788913365535620942,0.12
26,1788913365536621137,1788913365536620942,0.20
27,1788913365537621135,1788913365537620942,0.19
28,1788913365538621093,1788913365538620942,0.15
29,1788913365539621132,1788913365539620942,0.19
30,1788913365540621080,1788913365540620942,0.14
31,1788913365541621118,1788913365541620942,0.18
32,1788913365542621146,1788913365542620942,0.20
33,1788913365543621065,1788913365543620942,0.12
34,1788913365544621053,1788913365544620942,0.11
35,1788913365545621131,1788913365545620942,0.19
36,1788913365546621049,1788913365546620942,0.11
37,1788913365547621138,1788913365547620942,0.20
38,1788913365548621076,1788913365548620942,0.13
39,1788913365549621074,1788913365549620942,0.13
40,1788913365550621042,1788913365550620942,0.10
41,1788913365551621071,1788913365551620942,0.13
42,1788913365552621109,1788913365552620942,0.17
43,1788913365553621037,1788913365553620942,0.10
44,1788913365554621055,1788913365554620942,0.11
45,1788913365555621093,1788913365555620942,0.15
46,1788913365556621102,1788913365556620942,0.16
47,1788913365557621030,1788913365557620942,0.09
48,1788913365558621108,1788913365558620942,0.17
49,1788913365559621177,1788913365559620942,0.23
50,1788913365560621095,1788913365560620942,0.15
51,1788913365561621093,1788913365561620942,0.15
52,1788913365562621101,1788913365562620942,0.16
53,1788913365563621099,1788913365563620942,0.16
54,1788913365564621118,1788913365564620942,0.18
55,1788913365565621056,1788913365565620942,0.11
56,1788913365566621104,1788913365566620942,0.16
57,1788913365567621152,1788913365567620942,0.21
58,1788913365568621123,1788913365568620942,0.18
59,1788913365569621119,1788913365569620942,0.18
60,1788913365570621097,1788913365570620942,0.15
61,1788913365571621105,1788913365571620942,0.16
62,1788913365572621104,1788913365572620942,0.16
63,1788913365573621102,1788913365573620942,0.16
64,1788913365574621090,1788913365574620942,0.15
