seq,send_time_ns,scheduled_time_ns,drift_us
0,1788913414910189568,1788913414910187404,2.16
1,1788913414911187623,1788913414911187404,0.22
2,1788913414912187611,1788913414912187404,0.21
3,1788913414913187699,1788913414913187404,0.29
4,1788913414914187637,1788913414914187404,0.23
5,1788913414915187566,1788913414915187404,0.16
6,1788913414916187634,1788913414916187404,0.23
7,1788913414917187542,1788913414917187404,0.14
8,1788913414918187550,1788913414918187404,0.15
9,1788913414919187569,1788913414919187404,0.17
10,1788913414920187627,1788913414920187404,0.22
11,1788913414921187555,1788913414921187404,0.15
12,1788913414922187594,1788913414922187404,0.19
13,1788913414923187572,1788913414923187404,0.17
14,1788913414924187550,1788913414924187404,0.15
15,1788913414925187539,1788913414925187404,0.14
16,1788913414926187517,1788913414926187404,0.11
17,1788913414927187585,1788913414927187404,0.18
18,1788913414928187613,1788913414928187404,0.21
19,1788913414929187622,1788913414929187404,0.22
20,1788913414930187590,1788913414930187404,0.19
21,1788913414931187608,1788913414931187404,0.20
22,1788913414932187646,1788913414932187404,0.24
23,1788913414933187494,1788913414933187404,0.09
24,1788913414934187573,1788913414934187404,0.17
25,1788913414935187611,1788913414935187404,0.21
26,1788913414936187570,1788913414936187404,0.17
27,1788913414937187618,1788913414937187404,0.21
28,1788913414938187626,1788913414938187404,0.22
29,1788913414939187645,1788913414939187404,0.24
30,1788913414940187613,1788913414940187404,0.21
31,1788913414941187591,1788913414941187404,0.19
32,1788913414942187529,1788913414942187404,0.12
33,1788913414943187597,1788913414943187404,0.19
34,1788913414944187586,1788913414944187404,0.18
35,1788913414945187574,1788913414945187404,0.17
36,1788913414946187602,1788913414946187404,0.20
37,1788913414947187651,1788913414947187404,0.25
38,1788913414948187609,1788913414948187404,0.20
39,1788913414949187547,1788913414949187404,0.14
40,1788913414950187606,1788913414950187404,0.20
41,1788913414951187654,1788913414951187404,0.25
42,1788913414952187502,1788913414952187404,0.10
43,1788913414953187611,1788913414953187404,0.21
44,1788913414954187508,1788913414954187404,0.10
45,1788913414955187517,1788913414955187404,0.11
46,1788913414956187505,1788913414956187404,0.10
47,1788913414957187593,1788913414957187404,0.19
48,1788913414958187672,1788913414958187404,0.27
49,1788913414959187640,1788913414959187404,0.24
50,1788913414960187538,1788913414960187404,0.13
51,1788913414961187606,1788913414961187404,0.20
52,1788913414962187545,1788913414962187404,0.14
53,1788913414963187573,1788913414963187404,0.17
54,1788913414964187501,1788913414964187404,0.10
55,1788913414965187580,1788913414965187404,0.18
56,1788913414966187568,1788913414966187404,0.16
57,1788913414967187656,1788913414967187404,0.25
58,1788913414968187564,1788913414968187404,0.16
59,1788913414969187543,1788913414969187404,0.14
60,1788913414970187541,1788913414970187404,0.14
61,1788913414971187589,1788913414971187404,0.18
62,1788913414972187537,1788913414972187404,0.13
63,1788913414973187536,1788913414973187404,0.13
