seq,send_time_ns,scheduled_time_ns,drift_us
0,1788913464309783203,1788913464309781109,2.09
1,1788913464310781427,1788913464310781109,0.32
2,1788913464311781244,1788913464311781109,0.14
3,1788913464312781252,1788913464312781109,0.14
4,1788913464313781350,1788913464313781109,0.24
5,1788913464314781407,1788913464314781109,0.30
6,1788913464315781214,1788913464315781109,0.10
7,1788913464316781201,1788913464316781109,0.09
8,1788913464317781449,1788913464317781109,0.34
9,1788913464318781296,1788913464318781109,0.19
10,1788913464319781204,1788913464319781109,0.10
11,1788913464320781301,1788913464320781109,0.19
12,1788913464321781289,1788913464321781109,0.18
13,1788913464322791605,1788913464322781109,10.50
14,1788913464323781354,1788913464323781109,0.24
15,1788913464324781221,1788913464324781109,0.11
16,1788913464325781248,1788913464325781109,0.14
17,1788913464326781276,1788913464326781109,0.17
18,1788913464327782315,1788913464327781109,1.21
19,1788913464328781230,1788913464328781109,0.12
20,1788913464329781228,1788913464329781109,0.12
21,1788913464330781376,1788913464330781109,0.27
22,1788913464331781283,1788913464331781109,0.17
23,1788913464332781320,1788913464332781109,0.21
24,1788913464333781308,1788913464333781109,0.20
25,1788913464334781275,1788913464334781109,0.17
26,1788913464335789959,1788913464335781109,8.85
27,1788913464336781390,1788913464336781109,0.28
28,1788913464337781228,1788913464337781109,0.12
29,1788913464338781205,1788913464338781109,0.10
30,1788913464339781263,1788913464339781109,0.15
31,1788913464340781280,1788913464340781109,0.17
32,1788913464341781217,1788913464341781109,0.11
33,1788913464342781425,1788913464342781109,0.32
34,1788913464343781202,1788913464343781109,0.09
35,1788913464344781240,1788913464344781109,0.13
36,1788913464345781247,1788913464345781109,0.14
37,1788913464346781315,1788913464346781109,0.21
38,1788913464347781212,1788913464347781109,0.10
39,1788913464348788733,1788913464348781109,7.62
40,1788913464349781287,1788913464349781109,0.18
41,1788913464350781264,1788913464350781109,0.15
42,1788913464351781312,1788913464351781109,0.20
43,1788913464352781269,1788913464352781109,0.16
44,1788913464353781216,1788913464353781109,0.11
45,1788913464354781274,1788913464354781109,0.17
46,1788913464355782664,1788913464355781109,1.55
47,1788913464356781309,1788913464356781109,0.20
48,1788913464357781336,1788913464357781109,0.23
49,1788913464358781374,1788913464358781109,0.27
50,1788913464359781211,1788913464359781109,0.10
51,1788913464360781319,1788913464360781109,0.21
52,1788913464361784692,1788913464361781109,3.58
53,1788913464362781253,1788913464362781109,0.14
54,1788913464363781291,1788913464363781109,0.18
55,1788913464364781268,1788913464364781109,0.16
56,1788913464365781296,1788913464365781109,0.19
57,1788913464366781303,1788913464366781109,0.19
58,1788913464367781421,1788913464367781109,0.31
59,1788913464368781238,1788913464368781109,0.13
60,1788913464369781315,1788913464369781109,0.21
61,1788913464370781403,1788913464370781109,0.29
62,1788913464371781260,1788913464371781109,0.15
63,1788913464372781248,1788913464372781109,0.14
64,1788913464373781435,1788913464373781109,0.33
65,1788913464374781232,1788913464374781109,0.12
66,1788913464375781290,1788913464375781109,0.18
67,1788913464376781257,1788913464376781109,0.15
68,1788913464377781255,1788913464377781109,0.15
69,1788913464378781272,1788913464378781109,0.16
70,1788913464379781300,1788913464379781109,0.19
71,1788913464380781247,1788913464380781109,0.14
72,1788913464381781224,1788913464381781109,0.12
73,1788913464382781322,1788913464382781109,0.21
74,1788913464383783744,1788913464383781109,2.63
75,1788913464384781266,1788913464384781109,0.16
76,1788913464385781214,1788913464385781109,0.10
77,1788913464386781392,1788913464386781109,0.28
78,1788913464387781209,1788913464387781109,0.10
79,1788913464388781287,1788913464388781109,0.18
80,1788913464389781274,1788913464389781109,0.17
81,1788913464390781271,1788913464390781109,0.16
82,1788913464391781279,1788913464391781109,0.17
83,1788913464392781326,1788913464392781109,0.22
84,1788913464393781193,1788913464393781109,0.08
85,1788913464394781261,1788913464394781109,0.15
86,1788913464395781298,1788913464395781109,0.19
87,1788913464396781286,1788913464396781109,0.18
88,1788913464397781293,1788913464397781109,0.18
89,1788913464398781411,1788913464398781109,0.30
90,1788913464399781248,1788913464399781109,0.14
91,1788913464400781256,1788913464400781109,0.15
92,1788913464401781433,1788913464401781109,0.32
93,1788913464402781290,1788913464402781109,0.18
94,1788913464403781288,1788913464403781109,0.18
95,1788913464404781335,1788913464404781109,0.23
96,1788913464405781273,1788913464405781109,0.16
97,1788913464406781250,1788913464406781109,0.14
98,1788913464407781388,1788913464407781109,0.28
99,1788913464408781245,1788913464408781109,0.14
100,1788913464409781192,1788913464409781109,0.08
101,1788913464410781330,1788913464410781109,0.22
102,1788913464411782570,1788913464411781109,1.46
103,1788913464412781194,1788913464412781109,0.09
104,1788913464413781432,1788913464413781109,0.32
105,1788913464414781340,1788913464414781109,0.23
106,1788913464415781267,1788913464415781109,0.16
107,1788913464416781324,1788913464416781109,0.21
108,1788913464417781282,1788913464417781109,0.17
