seq,send_time_ns,scheduled_time_ns,drift_us
144,1788913299776958996,1788913299776958805,0.19
145,1788913299777958924,1788913299777958805,0.12
146,1788913299778959012,1788913299778958805,0.21
147,1788913299779958980,1788913299779958805,0.17
148,1788913299780973575,1788913299780958805,14.77
149,1788913299781958996,1788913299781958805,0.19
150,1788913299782958944,1788913299782958805,0.14
151,1788913299783960445,1788913299783958805,1.64
152,1788913299784958991,1788913299784958805,0.19
153,1788913299785958969,1788913299785958805,0.16
154,1788913299786959127,1788913299786958805,0.32
155,1788913299787958975,1788913299787958805,0.17
156,1788913299788959034,1788913299788958805,0.23
157,1788913299789960444,1788913299789958805,1.64
158,1788913299790958990,1788913299790958805,0.18
159,1788913299791964137,1788913299791958805,5.33
160,1788913299792958966,1788913299792958805,0.16
161,1788913299793958944,1788913299793958805,0.14
162,1788913299794958992,1788913299794958805,0.19
163,1788913299795958930,1788913299795958805,0.12
164,1788913299796958979,1788913299796958805,0.17
165,1788913299797958987,1788913299797958805,0.18
166,1788913299798958895,1788913299798958805,0.09
167,1788913299799959063,1788913299799958805,0.26
168,1788913299800959011,1788913299800958805,0.21
169,1788913299801958939,1788913299801958805,0.13
170,1788913299802958937,1788913299802958805,0.13
171,1788913299803959006,1788913299803958805,0.20
172,1788913299804959164,1788913299804958805,0.36
173,1788913299805959022,1788913299805958805,0.22
174,1788913299806966885,1788913299806958805,8.08
175,1788913299807958989,1788913299807958805,0.18
176,1788913299808958897,1788913299808958805,0.09
177,1788913299809959025,1788913299809958805,0.22
178,1788913299810958963,1788913299810958805,0.16
179,1788913299811958961,1788913299811958805,0.16
180,1788913299812959079,1788913299812958805,0.27
181,1788913299813958897,1788913299813958805,0.09
182,1788913299814959046,1788913299814958805,0.24
183,1788913299815959014,1788913299815958805,0.21
184,1788913299816958932,1788913299816958805,0.13
185,1788913299817958920,1788913299817958805,0.12
186,1788913299818958998,1788913299818958805,0.19
187,1788913299819964978,1788913299819958805,6.17
188,1788913299820962441,1788913299820958805,3.64
189,1788913299821958943,1788913299821958805,0.14
190,1788913299822958951,1788913299822958805,0.15
191,1788913299823958929,1788913299823958805,0.12
192,1788913299824958977,1788913299824958805,0.17
193,1788913299825958965,1788913299825958805,0.16
194,1788913299826959004,1788913299826958805,0.20
195,1788913299827959002,1788913299827958805,0.20
196,1788913299828959010,1788913299828958805,0.20
197,1788913299829958928,1788913299829958805,0.12
198,1788913299830959056,1788913299830958805,0.25
199,1788913299831958984,1788913299831958805,0.18
200,1788913299832963611,1788913299832958805,4.81
201,1788913299833958901,1788913299833958805,0.10
202,1788913299834958989,1788913299834958805,0.18
203,1788913299835958957,1788913299835958805,0.15
204,1788913299836958915,1788913299836958805,0.11
205,1788913299837958963,1788913299837958805,0.16
206,1788913299838961035,1788913299838958805,2.23
207,1788913299839958980,1788913299839958805,0.17
208,1788913299840959028,1788913299840958805,0.22
209,1788913299841958986,1788913299841958805,0.18
210,1788913299842958974,1788913299842958805,0.17
211,1788913299843959002,1788913299843958805,0.20
212,1788913299844959000,1788913299844958805,0.20
213,1788913299845959099,1788913299845958805,0.29
214,1788913299846966751,1788913299846958805,7.95
215,1788913299847958945,1788913299847958805,0.14
216,1788913299848958973,1788913299848958805,0.17
217,1788913299849958941,1788913299849958805,0.14
218,1788913299850958989,1788913299850958805,0.18
219,1788913299851959048,1788913299851958805,0.24
220,1788913299852958906,1788913299852958805,0.10
221,1788913299853958994,1788913299853958805,0.19
222,1788913299854958912,1788913299854958805,0.11
223,1788913299855958990,1788913299855958805,0.18
224,1788913299856959069,1788913299856958805,0.26
225,1788913299857958966,1788913299857958805,0.16
226,1788913299858964104,1788913299858958805,5.30
227,1788913299859959213,1788913299859958805,0.41
228,1788913299860958981,1788913299860958805,0.18
229,1788913299861958999,1788913299861958805,0.19
230,1788913299862958987,1788913299862958805,0.18
231,1788913299863958946,1788913299863958805,0.14
232,1788913299864958923,1788913299864958805,0.12
233,1788913299865958952,1788913299865958805,0.15
234,1788913299866958990,1788913299866958805,0.18
235,1788913299867958948,1788913299867958805,0.14
236,1788913299868958956,1788913299868958805,0.15
237,1788913299869960698,1788913299869958805,1.89
238,1788913299870958953,1788913299870958805,0.15
239,1788913299871958891,1788913299871958805,0.09
240,1788913299872961834,1788913299872958805,3.03
241,1788913299873958987,1788913299873958805,0.18
242,1788913299874958985,1788913299874958805,0.18
243,1788913299875958973,1788913299875958805,0.17
244,1788913299876958962,1788913299876958805,0.16
245,1788913299877959100,1788913299877958805,0.29
246,1788913299878958928,1788913299878958805,0.12
247,1788913299879959056,1788913299879958805,0.25
