seq,send_ns,recv_ns,latency_ms,jitter_us,pkt_size,tos
0,1788913316096899515,1788913316097036783,0.137268,0.0,128,184
1,1788913316097897681,1788913316097969736,0.072055,-67.047,128,184
2,1788913316098897580,1788913316098947173,0.049593,-22.563,128,184
3,1788913316099897619,1788913316099947393,0.049774,0.22,128,184
4,1788913316100897548,1788913316100938415,0.040867,-8.978,128,184
5,1788913316101897597,1788913316102033461,0.135864,95.046,128,184
6,1788913316102897536,1788913316102941579,0.044043,-91.882,128,184
7,1788913316103897605,1788913316103938452,0.040847,-3.127,128,184
8,1788913316104897614,1788913316104940805,0.043191,2.353,128,184
9,1788913316105897573,1788913316105943870,0.046297,3.065,128,184
10,1788913316106897742,1788913316106938028,0.040286,-5.842,128,184
11,1788913316107898072,1788913316107939279,0.041207,1.251,128,184
12,1788913316108897610,1788913316108942775,0.045165,3.496,128,184
13,1788913316109897539,1788913316109937153,0.039614,-5.622,128,184
14,1788913316110897568,1788913316110936641,0.039073,-0.512,128,184
15,1788913316111897637,1788913316111950286,0.052649,13.645,128,184
16,1788913316112897566,1788913316112941559,0.043993,-8.727,128,184
17,1788913316113897625,1788913316113938812,0.041187,-2.747,128,184
18,1788913316114897624,1788913316115025483,0.127859,86.671,128,184
19,1788913316115897582,1788913316115944872,0.04729,-80.611,128,184
20,1788913316116897542,1788913316116936916,0.039374,-7.956,128,184
21,1788913316117897580,1788913316117937456,0.039876,0.54,128,184
22,1788913316118897569,1788913316118940551,0.042982,3.095,128,184
23,1788913316119897639,1788913316119942122,0.044483,1.571,128,184
24,1788913316120897578,1788913316120941951,0.044373,-0.171,128,184
25,1788913316121897607,1788913316121941429,0.043822,-0.522,128,184
26,1788913316122897605,1788913316122943382,0.045777,1.953,128,184
27,1788913316123897614,1788913316123940225,0.042611,-3.157,128,184
28,1788913316124897553,1788913316124944702,0.047149,4.477,128,184
29,1788913316125897632,1788913316125938459,0.040827,-6.243,128,184
30,1788913316126897632,1788913316126936986,0.039354,-1.473,128,184
31,1788913316127897581,1788913316128009821,0.11224,72.835,128,184
32,1788913316128897559,1788913316128945580,0.048021,-64.241,128,184
33,1788913316129897598,1788913316129936872,0.039274,-8.708,128,184
34,1788913316130897597,1788913316130941119,0.043522,4.247,128,184
35,1788913316131897566,1788913316131940757,0.043191,-0.362,128,184
36,1788913316132897595,1788913316132944604,0.047009,3.847,128,184
37,1788913316133897554,1788913316133947378,0.049824,2.774,128,184
38,1788913316134897513,1788913316134940234,0.042721,-7.144,128,184
39,1788913316135897552,1788913316135947797,0.050245,7.563,128,184
40,1788913316136897631,1788913316136952605,0.054974,4.808,128,184
41,1788913316137897660,1788913316137941423,0.043763,-11.182,128,184
42,1788913316138897599,1788913316138944227,0.046628,2.804,128,184
43,1788913316139897568,1788913316139977809,0.080241,33.582,128,184
44,1788913316140897738,1788913316140981485,0.083747,3.676,128,184
45,1788913316141897516,1788913316141941008,0.043492,-40.477,128,184
