seq,send_ns,recv_ns,latency_ms,jitter_us,pkt_size,tos
0,1788913381972757662,1788913381972860155,0.102493,0.0,128,184
1,1788913381973755827,1788913381973805742,0.049915,-54.413,128,184
2,1788913381974755775,1788913381974799389,0.043614,-6.353,128,184
3,1788913381975755693,1788913381975800940,0.045247,1.551,128,184
4,1788913381976755802,1788913381976795027,0.039225,-5.913,128,184
5,1788913381977755820,1788913381977916933,0.161113,121.906,128,184
6,1788913381978755728,1788913381978797729,0.042001,-119.204,128,184
7,1788913381979755807,1788913381979794151,0.038344,-3.578,128,184
8,1788913381980755685,1788913381980797415,0.04173,3.264,128,184
9,1788913381981755854,1788913381981797644,0.04179,0.229,128,184
10,1788913381982755742,1788913381982796260,0.040518,-1.384,128,184
11,1788913381983755810,1788913381983797911,0.042101,1.651,128,184
12,1788913381984755799,1788913381984797208,0.041409,-0.703,128,184
13,1788913381985755787,1788913381985796556,0.040769,-0.652,128,184
14,1788913381986755715,1788913381986794410,0.038695,-2.146,128,184
15,1788913381987755804,1788913381987800319,0.044515,5.909,128,184
16,1788913381988755752,1788913381988802852,0.0471,2.533,128,184
17,1788913381989755790,1788913381989797611,0.041821,-5.241,128,184
18,1788913381990755859,1788913381990915640,0.159781,118.029,128,184
19,1788913381991755757,1788913381991798770,0.043013,-116.87,128,184
20,1788913381992755846,1788913381992793839,0.037993,-4.931,128,184
21,1788913381993755754,1788913381993803886,0.048132,10.047,128,184
22,1788913381994755802,1788913381994793806,0.038004,-10.08,128,184
23,1788913381995755821,1788913381995797270,0.041449,3.464,128,184
24,1788913381996755769,1788913381996800114,0.044345,2.844,128,184
25,1788913381997755727,1788913381997806234,0.050507,6.12,128,184
26,1788913381998755796,1788913381998804760,0.048964,-1.474,128,184
27,1788913381999755744,1788913381999796332,0.040588,-8.428,128,184
28,1788913382000755883,1788913382000804786,0.048903,8.454,128,184
29,1788913382001755801,1788913382001797291,0.04149,-7.495,128,184
30,1788913382002755789,1788913382002797209,0.04142,-0.082,128,184
31,1788913382003755938,1788913382003896443,0.140505,99.234,128,184
32,1788913382004755766,1788913382004794350,0.038584,-102.093,128,184
33,1788913382005755724,1788913382005793938,0.038214,-0.412,128,184
34,1788913382006755743,1788913382006800639,0.044896,6.701,128,184
35,1788913382007755801,1788913382007793875,0.038074,-6.764,128,184
36,1788913382008755889,1788913382008795045,0.039156,1.17,128,184
37,1788913382009755738,1788913382009821453,0.065715,26.408,128,184
38,1788913382010755776,1788913382010795523,0.039747,-25.93,128,184
39,1788913382011755814,1788913382011805520,0.049706,9.997,128,184
40,1788913382012755693,1788913382012797042,0.041349,-8.478,128,184
41,1788913382013755851,1788913382013795788,0.039937,-1.254,128,184
42,1788913382014755690,1788913382014801116,0.045426,5.328,128,184
43,1788913382015755738,1788913382015799352,0.043614,-1.764,128,184
44,1788913382016755786,1788913382016916018,0.160232,116.666,128,184
45,1788913382017755715,1788913382017795321,0.039606,-120.697,128,184
