seq,send_ns,recv_ns,latency_ms,jitter_us,pkt_size,tos
0,1788913250236326549,1788913250813634547,577.307998,0.0,128,0
1,1788913250237324804,1788913250814241190,576.916386,-393.357,128,0
5,1788913250241324756,1788913250817767278,576.442522,2526.088,128,0
8,1788913250244324681,1788913250820139981,575.8153,1372.703,128,0
9,1788913250245324638,1788913250820780417,575.455779,-359.564,128,0
11,1788913250247324675,1788913250822020243,574.695568,239.826,128,0
12,1788913250248324713,1788913250822652835,574.328122,-367.408,128,0
13,1788913250249324621,1788913250823286419,573.961798,-366.416,128,0
14,1788913250250324610,1788913250823364795,573.040185,-921.624,128,0
15,1788913250251324658,1788913250823996746,572.672088,-368.049,128,0
16,1788913250252324666,1788913250824653803,572.329137,-342.943,128,0
20,1788913250256324668,1788913250828196511,571.871843,2542.708,128,0
24,1788913250260324691,1788913250831709965,571.385274,2513.454,128,0
27,1788913250263324705,1788913250834085964,570.761259,1375.999,128,0
28,1788913250264324714,1788913250834723915,570.399201,-362.049,128,0
30,1788913250266324770,1788913250835944716,569.619946,220.801,128,0
31,1788913250267324718,1788913250836596784,569.272066,-347.932,128,0
33,1788913250269324705,1788913250837811644,568.486939,214.86,128,0
34,1788913250270324753,1788913250838465155,568.140402,-346.489,128,0
35,1788913250271324721,1788913250839103557,567.778836,-361.598,128,0
43,1788913250279324987,1788913250846678288,567.353301,6574.731,128,0
46,1788913250282324791,1788913250849040260,566.715469,1361.972,128,0
49,1788913250285324685,1788913250851434593,566.109908,1394.333,128,0
50,1788913250286324703,1788913250852062877,565.738174,-371.716,128,0
52,1788913250288324649,1788913250853294178,564.969529,231.301,128,0
53,1788913250289324678,1788913250853923623,564.598945,-370.555,128,0
54,1788913250290324766,1788913250854571043,564.246277,-352.58,128,0
61,1788913250297324753,1788913250860989003,563.66425,5417.96,128,0
64,1788913250300324718,1788913250863342249,563.017531,1353.246,128,0
65,1788913250301324695,1788913250864001691,562.676996,-340.558,128,0
68,1788913250304324670,1788913250866368442,562.043772,1366.751,128,0
69,1788913250305324708,1788913250867028646,561.703938,-339.796,128,0
80,1788913250316324848,1788913250877481664,561.156816,9453.018,128,0
83,1788913250319324652,1788913250879796578,560.471926,1314.914,128,0
84,1788913250320324801,1788913250880500433,560.175632,-296.145,128,0
87,1788913250323324765,1788913250882893744,559.568979,1393.311,128,0
88,1788913250324326797,1788913250883514423,559.187626,-379.321,128,0
91,1788913250327324637,1788913250885885012,558.560375,1370.589,128,0
95,1788913250331324861,1788913250889440885,558.116024,2555.873,128,0
99,1788913250335324733,1788913250892979907,557.655174,2539.022,128,0
102,1788913250338324637,1788913250895354774,557.030137,1374.867,128,0
103,1788913250339324665,1788913250895961988,556.637323,-392.786,128,0
105,1788913250341326385,1788913250897212013,555.885628,250.025,128,0
106,1788913250342324710,1788913250897826541,555.501831,-385.472,128,0
109,1788913250345324725,1788913250900216526,554.891801,1389.985,128,0
110,1788913250346324682,1788913250900857443,554.532761,-359.083,128,0
114,1788913250350324665,1788913250904366589,554.041924,2509.146,128,0
117,1788913250353324800,1788913250906769298,553.444498,1402.709,128,0
118,1788913250354324838,1788913250907378896,553.054058,-390.402,128,0
120,1788913250356324784,1788913250908629803,552.305019,250.907,128,0
121,1788913250357324672,1788913250909271532,551.94686,-358.271,128,0
123,1788913250359324779,1788913250910500067,551.175288,228.535,128,0
124,1788913250360324707,1788913250911134021,550.809314,-366.046,128,0
125,1788913250361324675,1788913250911779347,550.454672,-354.674,128,0
128,1788913250364324649,1788913250914154063,549.829414,1374.716,128,0
129,1788913250365324728,1788913250914814938,549.49021,-339.125,128,0
133,1788913250369324730,1788913250918364459,549.039729,2549.521,128,0
136,1788913250372324665,1788913250920705142,548.380477,1340.683,128,0
139,1788913250375324830,1788913250923084246,547.759416,1379.104,128,0
140,1788913250376324657,1788913250923735092,547.410435,-349.154,128,0
142,1788913250378324674,1788913250924945734,546.62106,210.642,128,0
143,1788913250379324702,1788913250925600547,546.275845,-345.187,128,0
144,1788913250380324650,1788913250926236325,545.911675,-364.222,128,0
