seq,send_ns,recv_ns,latency_ms,jitter_us,pkt_size,tos
6241,1788913470550781198,1788913470550816304,0.035106,-23.857,128,184
6242,1788913470551781196,1788913470551817604,0.036408,1.3,128,184
6243,1788913470552781253,1788913470552819946,0.038693,2.342,128,184
6244,1788913470553781200,1788913470553812349,0.031149,-7.597,128,184
6245,1788913470554781298,1788913470554813619,0.032321,1.27,128,184
6246,1788913470555781275,1788913470555824457,0.043182,10.838,128,184
6247,1788913470556781283,1788913470556821128,0.039845,-3.329,128,184
6248,1788913470557781210,1788913470557814062,0.032852,-7.066,128,184
6249,1788913470558781378,1788913470558814831,0.033453,0.769,128,184
6250,1788913470559781285,1788913470559824997,0.043712,10.166,128,184
6251,1788913470560781262,1788913470560814666,0.033404,-10.331,128,184
6252,1788913470561784235,1788913470561942602,0.158367,127.936,128,184
6253,1788913470562781287,1788913470562814129,0.032842,-128.473,128,184
6254,1788913470563781254,1788913470563810921,0.029667,-3.208,128,184
6255,1788913470564781332,1788913470564823882,0.04255,12.961,128,184
6256,1788913470565781309,1788913470565814252,0.032943,-9.63,128,184
6257,1788913470566781227,1788913470566810973,0.029746,-3.279,128,184
6258,1788913470567781364,1788913470567828493,0.047129,17.52,128,184
6259,1788913470568781272,1788913470568829232,0.04796,0.739,128,184
6260,1788913470569781299,1788913470569818249,0.03695,-10.983,128,184
6261,1788913470570781267,1788913470570826061,0.044794,7.812,128,184
6262,1788913470571781465,1788913470571820458,0.038993,-5.603,128,184
6263,1788913470572781211,1788913470572845222,0.064011,24.764,128,184
6264,1788913470573781219,1788913470573820743,0.039524,-24.479,128,184
6265,1788913470574782098,1788913470574884821,0.102723,64.078,128,184
6266,1788913470575781234,1788913470575813054,0.03182,-71.767,128,184
6267,1788913470576781241,1788913470576809996,0.028755,-3.058,128,184
6268,1788913470577781349,1788913470577823198,0.041849,13.202,128,184
6269,1788913470578781326,1788913470578821212,0.039886,-1.986,128,184
6270,1788913470579781223,1788913470579814416,0.033193,-6.796,128,184
6271,1788913470580781411,1788913470580823571,0.04216,9.155,128,184
6272,1788913470581781248,1788913470581815974,0.034726,-7.597,128,184
6273,1788913470582781246,1788913470582817765,0.036519,1.791,128,184
6274,1788913470583781403,1788913470583822681,0.041278,4.916,128,184
6275,1788913470584781230,1788913470584815606,0.034376,-7.075,128,184
6276,1788913470585781238,1788913470585817386,0.036148,1.78,128,184
6277,1788913470586781316,1788913470586832272,0.050956,14.886,128,184
6278,1788913470587781273,1788913470587937926,0.156653,105.654,128,184
6279,1788913470588781330,1788913470588822037,0.040707,-115.889,128,184
6280,1788913470589781468,1788913470589828046,0.046578,6.009,128,184
6281,1788913470590781285,1788913470590826841,0.045556,-1.205,128,184
6282,1788913470591781233,1788913470591828181,0.046948,1.34,128,184
6283,1788913470592781220,1788913470592816997,0.035777,-11.184,128,184
6284,1788913470593781267,1788913470593851199,0.069932,34.202,128,184
6285,1788913470594781285,1788913470594814768,0.033483,-36.431,128,184
6286,1788913470595781412,1788913470595829683,0.048271,14.915,128,184
6287,1788913470596781270,1788913470596833238,0.051968,3.555,128,184
6288,1788913470597781267,1788913470597810442,0.029175,-22.796,128,184
6289,1788913470598781254,1788913470598882023,0.100769,71.581,128,184
6290,1788913470599781322,1788913470599821678,0.040356,-60.345,128,184
6291,1788913470600781229,1788913470600942682,0.161453,121.004,128,184
6292,1788913470601781197,1788913470601845257,0.06406,-97.425,128,184
6293,1788913470602781395,1788913470602822132,0.040737,-23.125,128,184
6294,1788913470603781322,1788913470603833460,0.052138,11.328,128,184
6295,1788913470604781269,1788913470604817357,0.036088,-16.103,128,184
6296,1788913470605781437,1788913470605818958,0.037521,1.601,128,184
6297,1788913470606781274,1788913470606828904,0.04763,9.946,128,184
6298,1788913470607781271,1788913470607813693,0.032422,-15.211,128,184
6299,1788913470608781339,1788913470608830331,0.048992,16.638,128,184
6300,1788913470609781206,1788913470609821091,0.039885,-9.24,128,184
6301,1788913470610781264,1788913470610815168,0.033904,-5.923,128,184
6302,1788913470611781301,1788913470611833019,0.051718,17.851,128,184
6303,1788913470612781238,1788913470612816235,0.034997,-16.784,128,184
6304,1788913470613781287,1788913470613938110,0.156823,121.875,128,184
6305,1788913470614781224,1788913470614834703,0.053479,-103.407,128,184
6306,1788913470615781292,1788913470615817278,0.035986,-17.425,128,184
6307,1788913470616781279,1788913470616824299,0.04302,7.021,128,184
6308,1788913470617781226,1788913470617828263,0.047037,3.964,128,184
6309,1788913470618781314,1788913470618822320,0.041006,-5.943,128,184
6310,1788913470619781342,1788913470619821566,0.040224,-0.754,128,184
6311,1788913470620781209,1788913470620822555,0.041346,0.989,128,184
6312,1788913470621781226,1788913470621830568,0.049342,8.013,128,184
6313,1788913470622781254,1788913470622822139,0.040885,-8.429,128,184
6314,1788913470623781291,1788913470623817668,0.036377,-4.471,128,184
6315,1788913470624781299,1788913470624828035,0.046736,10.367,128,184
6316,1788913470625781236,1788913470625820118,0.038882,-7.917,128,184
6317,1788913470626781243,1788913470626930140,0.148897,110.022,128,184
6318,1788913470627781211,1788913470627820974,0.039763,-109.166,128,184
6319,1788913470628781238,1788913470628817124,0.035886,-3.85,128,184
6320,1788913470629781265,1788913470629820949,0.039684,3.825,128,184
6321,1788913470630781313,1788913470630823291,0.041978,2.342,128,184
6322,1788913470631781280,1788913470631813770,0.03249,-9.521,128,184
6323,1788913470632781328,1788913470632820681,0.039353,6.911,128,184
6324,1788913470633781325,1788913470633823553,0.042228,2.872,128,184
6325,1788913470634781273,1788913470634826557,0.045284,3.004,128,184
6326,1788913470635781260,1788913470635822196,0.040936,-4.361,128,184
6327,1788913470636781208,1788913470636821913,0.040705,-0.283,128,184
6328,1788913470637781295,1788913470637826268,0.044973,4.355,128,184
6329,1788913470638781292,1788913470638824152,0.04286,-2.116,128,184
6330,1788913470639781300,1788913470639861449,0.080149,37.297,128,184
6331,1788913470640781257,1788913470640821942,0.040685,-39.507,128,184
6332,1788913470641781295,1788913470641814366,0.033071,-7.576,128,184
6333,1788913470642781202,1788913470642834671,0.053469,20.305,128,184
6334,1788913470643781240,1788913470643819570,0.03833,-15.101,128,184
6335,1788913470644781267,1788913470644828544,0.047277,8.974,128,184
6336,1788913470645781234,1788913470645833752,0.052518,5.208,128,184
6337,1788913470646781302,1788913470646830803,0.049501,-2.949,128,184
6338,1788913470647781259,1788913470647829869,0.04861,-0.934,128,184
6339,1788913470648781277,1788913470648820750,0.039473,-9.119,128,184
6340,1788913470649781204,1788913470649825676,0.044472,4.926,128,184
6341,1788913470650781261,1788913470650823279,0.042018,-2.397,128,184
6342,1788913470651781249,1788913470651823066,0.041817,-0.213,128,184
6343,1788913470652781226,1788913470652927038,0.145812,103.972,128,184
6344,1788913470653781234,1788913470653821578,0.040344,-105.46,128,184
6345,1788913470654781231,1788913470654822207,0.040976,0.629,128,184
6346,1788913470655781229,1788913470655829458,0.048229,7.251,128,184
6347,1788913470656781276,1788913470656820078,0.038802,-9.38,128,184
6348,1788913470657781244,1788913470657815937,0.034693,-4.141,128,184
6349,1788913470658781221,1788913470658831564,0.050343,15.627,128,184
6350,1788913470659781248,1788913470659819389,0.038141,-12.175,128,184
6351,1788913470660781286,1788913470660942787,0.161501,123.398,128,184
6352,1788913470661781203,1788913470661821367,0.040164,-121.42,128,184
6353,1788913470662781221,1788913470662814141,0.03292,-7.226,128,184
6354,1788913470663781298,1788913470663833545,0.052247,19.404,128,184
6355,1788913470664781215,1788913470664826469,0.045254,-7.076,128,184
6356,1788913470665781223,1788913470665943886,0.162663,117.417,128,184
6357,1788913470666781190,1788913470666822707,0.041517,-121.179,128,184
6358,1788913470667781288,1788913470667819689,0.038401,-3.018,128,184
6359,1788913470668781315,1788913470668822852,0.041537,3.163,128,184
6360,1788913470669781253,1788913470669828680,0.047427,5.828,128,184
6361,1788913470670781300,1788913470670826814,0.045514,-1.866,128,184
6362,1788913470671781268,1788913470671823806,0.042538,-3.008,128,184
6363,1788913470672781305,1788913470672820508,0.039203,-3.298,128,184
6364,1788913470673781252,1788913470673946921,0.165669,126.413,128,184
6365,1788913470674781290,1788913470674824029,0.042739,-122.892,128,184
6366,1788913470675781407,1788913470675816623,0.035216,-7.406,128,184
6367,1788913470676781225,1788913470676820918,0.039693,4.295,128,184
6368,1788913470677781342,1788913470677831194,0.049852,10.276,128,184
6369,1788913470678781280,1788913470678944193,0.162913,112.999,128,184
6370,1788913470679781247,1788913470679821261,0.040014,-122.932,128,184
6371,1788913470680781224,1788913470680820637,0.039413,-0.624,128,184
6372,1788913470681781212,1788913470681822618,0.041406,1.981,128,184
6373,1788913470682781229,1788913470682820502,0.039273,-2.116,128,184
6374,1788913470683781206,1788913470683818966,0.03776,-1.536,128,184
6375,1788913470684781234,1788913470684822129,0.040895,3.163,128,184
6376,1788913470685781201,1788913470685820714,0.039513,-1.415,128,184
6377,1788913470686791398,1788913470686901443,0.110045,80.729,128,184
6378,1788913470687781236,1788913470687820990,0.039754,-80.453,128,184
6379,1788913470688781294,1788913470688823702,0.042408,2.712,128,184
6380,1788913470689781311,1788913470689821646,0.040335,-2.056,128,184
6381,1788913470690781329,1788913470690823747,0.042418,2.101,128,184
6382,1788913470691781276,1788913470691931195,0.149919,107.448,128,184
6383,1788913470692781203,1788913470692821658,0.040455,-109.537,128,184
6384,1788913470693781281,1788913470693813831,0.03255,-7.827,128,184
6385,1788913470694781268,1788913470694822144,0.040876,8.313,128,184
6386,1788913470695781216,1788913470695824736,0.04352,2.592,128,184
6387,1788913470696781223,1788913470696813923,0.0327,-10.813,128,184
6388,1788913470697781281,1788913470697823799,0.042518,9.876,128,184
6389,1788913470698781238,1788913470698826381,0.045143,2.582,128,184
6390,1788913470699788369,1788913470699945582,0.157213,119.201,128,184
6391,1788913470700781243,1788913470700820505,0.039262,-125.077,128,184
6392,1788913470701781280,1788913470701826364,0.045084,5.859,128,184
6393,1788913470702781278,1788913470702831360,0.050082,4.996,128,184
6394,1788913470703781295,1788913470703821570,0.040275,-9.79,128,184
6395,1788913470704781283,1788913470704931232,0.149949,109.662,128,184
6396,1788913470705781220,1788913470705830561,0.049341,-100.671,128,184
6397,1788913470706781308,1788913470706819127,0.037819,-11.434,128,184
6398,1788913470707781235,1788913470707823233,0.041998,4.106,128,184
6399,1788913470708781272,1788913470708836955,0.055683,13.722,128,184
6400,1788913470709781300,1788913470709819450,0.03815,-17.505,128,184
6401,1788913470710781227,1788913470710828465,0.047238,9.015,128,184
6402,1788913470711781275,1788913470711832239,0.050964,3.774,128,184
6403,1788913470712786191,1788913470712941410,0.155219,109.171,128,184
6404,1788913470713781309,1788913470713820522,0.039213,-120.888,128,184
6405,1788913470714781277,1788913470714819547,0.03827,-0.975,128,184
6406,1788913470715781214,1788913470715825055,0.043841,5.508,128,184
6407,1788913470716781352,1788913470716823961,0.042609,-1.094,128,184
6408,1788913470717781279,1788913470717889651,0.108372,65.69,128,184
6409,1788913470718781277,1788913470718828304,0.047027,-61.347,128,184
6410,1788913470719781224,1788913470719818863,0.037639,-9.441,128,184
6411,1788913470720781261,1788913470720829791,0.04853,10.928,128,184
6412,1788913470721781249,1788913470721822545,0.041296,-7.246,128,184
6413,1788913470722781256,1788913470722819747,0.038491,-2.798,128,184
6414,1788913470723781314,1788913470723829283,0.047969,9.536,128,184
6415,1788913470724781351,1788913470724820423,0.039072,-8.86,128,184
