seq,send_time_ns,scheduled_time_ns,drift_us
0,1788913431376041214,1788913431376038769,2.44
1,1788913431377039078,1788913431377038769,0.31
2,1788913431378038945,1788913431378038769,0.18
3,1788913431379038933,1788913431379038769,0.16
4,1788913431380038900,1788913431380038769,0.13
5,1788913431381038858,1788913431381038769,0.09
6,1788913431382038986,1788913431382038769,0.22
7,1788913431383038904,1788913431383038769,0.14
8,1788913431384038861,1788913431384038769,0.09
9,1788913431385038949,1788913431385038769,0.18
10,1788913431386038907,1788913431386038769,0.14
11,1788913431387038935,1788913431387038769,0.17
12,1788913431388038982,1788913431388038769,0.21
13,1788913431389039000,1788913431389038769,0.23
14,1788913431390038998,1788913431390038769,0.23
15,1788913431391038906,1788913431391038769,0.14
16,1788913431392038953,1788913431392038769,0.18
17,1788913431393038881,1788913431393038769,0.11
18,1788913431394038919,1788913431394038769,0.15
19,1788913431395038906,1788913431395038769,0.14
20,1788913431396038874,1788913431396038769,0.10
21,1788913431397038872,1788913431397038769,0.10
22,1788913431398039040,1788913431398038769,0.27
23,1788913431399038907,1788913431399038769,0.14
24,1788913431400038955,1788913431400038769,0.19
25,1788913431401038933,1788913431401038769,0.16
26,1788913431402038991,1788913431402038769,0.22
27,1788913431403038878,1788913431403038769,0.11
28,1788913431404038926,1788913431404038769,0.16
29,1788913431405038914,1788913431405038769,0.14
30,1788913431406038882,1788913431406038769,0.11
31,1788913431407038879,1788913431407038769,0.11
32,1788913431408038887,1788913431408038769,0.12
33,1788913431409038894,1788913431409038769,0.12
34,1788913431410038922,1788913431410038769,0.15
35,1788913431411038870,1788913431411038769,0.10
36,1788913431412038938,1788913431412038769,0.17
37,1788913431413038865,1788913431413038769,0.10
38,1788913431414038913,1788913431414038769,0.14
39,1788913431415038851,1788913431415038769,0.08
40,1788913431416038909,1788913431416038769,0.14
41,1788913431417038981,1788913431417038769,0.21
42,1788913431418038918,1788913431418038769,0.15
43,1788913431419038916,1788913431419038769,0.15
44,1788913431420039034,1788913431420038769,0.27
45,1788913431421038901,1788913431421038769,0.13
46,1788913431422038899,1788913431422038769,0.13
47,1788913431423039077,1788913431423038769,0.31
48,1788913431424038915,1788913431424038769,0.15
49,1788913431425038972,1788913431425038769,0.20
50,1788913431426038910,1788913431426038769,0.14
51,1788913431427038948,1788913431427038769,0.18
52,1788913431428038886,1788913431428038769,0.12
53,1788913431429038913,1788913431429038769,0.14
54,1788913431430038951,1788913431430038769,0.18
55,1788913431431038899,1788913431431038769,0.13
56,1788913431432039007,1788913431432038769,0.24
57,1788913431433038954,1788913431433038769,0.18
58,1788913431434038962,1788913431434038769,0.19
59,1788913431435038970,1788913431435038769,0.20
60,1788913431436038968,1788913431436038769,0.20
61,1788913431437038935,1788913431437038769,0.17
62,1788913431438038903,1788913431438038769,0.13
63,1788913431439038971,1788913431439038769,0.20
64,1788913431440038938,1788913431440038769,0.17
65,1788913431441039066,1788913431441038769,0.30
66,1788913431442038944,1788913431442038769,0.17
67,1788913431443039032,1788913431443038769,0.26
68,1788913431444038919,1788913431444038769,0.15
69,1788913431445039007,1788913431445038769,0.24
70,1788913431446038945,1788913431446038769,0.18
71,1788913431447038942,1788913431447038769,0.17
72,1788913431448039020,1788913431448038769,0.25
73,1788913431449038868,1788913431449038769,0.10
74,1788913431450039076,1788913431450038769,0.31
75,1788913431451038964,1788913431451038769,0.20
76,1788913431452038901,1788913431452038769,0.13
77,1788913431453038889,1788913431453038769,0.12
78,1788913431454038997,1788913431454038769,0.23
79,1788913431455038894,1788913431455038769,0.12
80,1788913431456038932,1788913431456038769,0.16
81,1788913431457039010,1788913431457038769,0.24
82,1788913431458038898,1788913431458038769,0.13
83,1788913431459038885,1788913431459038769,0.12
84,1788913431460038923,1788913431460038769,0.15
85,1788913431461038971,1788913431461038769,0.20
86,1788913431462038868,1788913431462038769,0.10
87,1788913431463038916,1788913431463038769,0.15
88,1788913431464038874,1788913431464038769,0.10
89,1788913431465038952,1788913431465038769,0.18
90,1788913431466039030,1788913431466038769,0.26
91,1788913431467038967,1788913431467038769,0.20
92,1788913431468039917,1788913431468038769,1.15
93,1788913431469038993,1788913431469038769,0.22
94,1788913431470038970,1788913431470038769,0.20
95,1788913431471038938,1788913431471038769,0.17
96,1788913431472039006,1788913431472038769,0.24
97,1788913431473039034,1788913431473038769,0.27
98,1788913431474038881,1788913431474038769,0.11
99,1788913431475038899,1788913431475038769,0.13
100,1788913431476042072,1788913431476038769,3.30
101,1788913431477038965,1788913431477038769,0.20
102,1788913431478040458,1788913431478038769,1.69
103,1788913431479038862,1788913431479038769,0.09
104,1788913431480038890,1788913431480038769,0.12
105,1788913431481038988,1788913431481038769,0.22
106,1788913431482038946,1788913431482038769,0.18
107,1788913431483038863,1788913431483038769,0.09
108,1788913431484038951,1788913431484038769,0.18
109,1788913431485038919,1788913431485038769,0.15
110,1788913431486039117,1788913431486038769,0.35
111,1788913431487038895,1788913431487038769,0.13
112,1788913431488038872,1788913431488038769,0.10
113,1788913431489039050,1788913431489038769,0.28
114,1788913431490038918,1788913431490038769,0.15
115,1788913431491038955,1788913431491038769,0.19
116,1788913431492038903,1788913431492038769,0.13
117,1788913431493038881,1788913431493038769,0.11
118,1788913431494038909,1788913431494038769,0.14
119,1788913431495038946,1788913431495038769,0.18
120,1788913431496039014,1788913431496038769,0.24
121,1788913431497038992,1788913431497038769,0.22
